accession,name,length,organism,label,subcategory,pfam_ids,go_terms,function_description,sequence_identity_to_nearest_threat,is_hard_negative
Q7Z1Y7,A1LA_LOXAR,320,Loxosceles arizonica,threat,hemolysin,[],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
Q99289,HLT_VIBPA,418,Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633),threat,hemolysin,['PF00657'],"['GO:0005576:C:extracellular region', 'GO:0016298:F:lipase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Phospholipase hydrolyzing both fatty acid esters of phospholipid, i.e. it hydrolyzes phosphatidylcholine (PC) to lysophosphatidylcholine (LPC) and then LPC to glycerophosphorylcholine (GPC)",,False
Q9RF12,PHLC_CLOPF,398,Clostridium perfringens,threat,hemolysin,"['PF01477', 'PF00882']","['GO:0005576:C:extracellular region', 'GO:0034480:F:phosphatidylcholine phospholipase C activity', 'GO:0090729:F:toxin activity', 'GO:0008270:F:zinc ion binding', 'GO:0031640:P:killing of cells of another organism']","Bacterial hemolysins are exotoxins that attack blood cell membranes and cause cell rupture. Constitutes an essential virulence factor in gas gangrene. Binds to eukaryotic membranes where it hydrolyzes both phosphatidylcholine and sphingomyelin, causing cell rupture. The diacylglycerol produced can activate both the arachidonic acid pathway, leading to modulation of the inflammatory response cascade and thrombosis, and protein kinase C, leading to activation of eukaryotic phospholipases and further membrane damage",,False
A4USB4,A51_LOXIN,307,Loxosceles intermedia,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) with high activity (PubMed:18082635). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, massive inflammatory response, platelet aggregation, increased vascular permeability, and causes edema and death in mice (PubMed:18082635)",,False
C0JAR8,A1IA8_LOXHI,273,Loxosceles hirsuta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAR9,A1IB1_LOXHI,273,Loxosceles hirsuta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAS3,A1IB5_LOXHI,271,Loxosceles hirsuta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAS8,A1I3_LOXSP,273,Loxosceles spadicea,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAT9,A1H1_LOXSP,273,Loxosceles spadicea,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAU6,A1LC_LOXAR,276,Loxosceles arizonica,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAV7,A1KC_LOXAP,273,Loxosceles apachea,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAW9,A1KA4_LOXDE,273,Loxosceles deserta,threat,hemolysin,[],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAX2,A1MB_LOXDE,273,Loxosceles deserta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAX3,A1MA1_LOXDE,273,Loxosceles deserta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAX5,A1MA3_LOXDE,273,Loxosceles deserta,threat,hemolysin,[],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAX7,A1MA4_LOXDE,273,Loxosceles deserta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAY9,A1KA5_LOXSA,270,Loxosceles sabina,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JAZ6,A1OB3_LOXVA,272,Loxosceles variegata,threat,hemolysin,[],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JB00,A1OB_LOXRU,273,Loxosceles rufescens,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JB01,A1OC_LOXRU,273,Loxosceles rufescens,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JB11,A312_LOXS4,278,Loxosceles sp. (strain 4 GJB-2008),threat,hemolysin,[],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JB14,A411_LOXHI,278,Loxosceles hirsuta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JB16,A413_LOXHI,278,Loxosceles hirsuta,threat,hemolysin,['PF13653'],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JB19,A412_LOXAM,275,Loxosceles amazonica,threat,hemolysin,[],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
C0JB21,A41_LOXRU,275,Loxosceles rufescens,threat,hemolysin,[],"['GO:0005576:C:extracellular region', 'GO:0016829:F:lyase activity', 'GO:0046872:F:metal ion binding', 'GO:0008081:F:phosphoric diester hydrolase activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0016042:P:lipid catabolic process']","Dermonecrotic toxins cleave the phosphodiester linkage between the phosphate and headgroup of certain phospholipids (sphingolipid and lysolipid substrates), forming an alcohol (often choline) and a cyclic phosphate (By similarity). This toxin acts on sphingomyelin (SM) (By similarity). It may also act on ceramide phosphoethanolamine (CPE), lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), but not on lysophosphatidylserine (LPS), and lysophosphatidylglycerol (LPG) (By similarity). It acts by transphosphatidylation, releasing exclusively cyclic phosphate products as second products (By similarity). Induces dermonecrosis, hemolysis, increased vascular permeability, edema, inflammatory response, and platelet aggregation (By similarity)",,False
O60477,BRNP1_HUMAN,761,Homo sapiens,benign,macpf_nontoxin,"['PF19052', 'PF25415', 'PF01823']","['GO:0005737:C:cytoplasm', 'GO:0030425:C:dendrite', 'GO:0098978:C:glutamatergic synapse', 'GO:0043025:C:neuronal cell body', 'GO:0001662:P:behavioral fear response', 'GO:0007420:P:brain development', 'GO:0008283:P:cell population proliferation', 'GO:0071300:P:cellular response to retinoic acid', 'GO:0021954:P:central nervous system neuron development', 'GO:0021953:P:central nervous system neuron differentiation', 'GO:0035640:P:exploration behavior', 'GO:0010467:P:gene expression', 'GO:0048873:P:homeostasis of number of cells within a tissue', 'GO:0042711:P:maternal behavior', 'GO:0045930:P:negative regulation of mitotic cell cycle', 'GO:0050768:P:negative regulation of neurogenesis', 'GO:0045666:P:positive regulation of neuron differentiation', 'GO:0010498:P:proteasomal protein catabolic process', 'GO:0050821:P:protein stabilization', 'GO:0007614:P:short-term memory', 'GO:0035176:P:social behavior', 'GO:0071625:P:vocalization behavior']",Plays a role in neurogenesis and brain development (By similarity). May suppress cell cycle progression in postmitotic neurons by inhibiting G1/S transition (PubMed:11420708),,True
O75129,ASTN2_HUMAN,1339,Homo sapiens,benign,macpf_nontoxin,"['PF18411', 'PF19743', 'PF19441', 'PF18577', 'PF01823']","['GO:0005938:C:cell cortex', 'GO:0060187:C:cell pole', 'GO:0030136:C:clathrin-coated vesicle', 'GO:0005769:C:early endosome', 'GO:0005768:C:endosome', 'GO:0005770:C:late endosome', 'GO:0016020:C:membrane', 'GO:0043204:C:perikaryon', 'GO:0005509:F:calcium ion binding', 'GO:0043533:F:inositol 1,3,4,5 tetrakisphosphate binding', 'GO:0048105:P:establishment of body hair planar orientation', 'GO:2000009:P:negative regulation of protein localization to cell surface', 'GO:0007158:P:neuron cell-cell adhesion', 'GO:0001764:P:neuron migration', 'GO:0034394:P:protein localization to cell surface', 'GO:0015031:P:protein transport']","Mediates recycling of the neuronal cell adhesion molecule ASTN1 to the anterior pole of the cell membrane in migrating neurons. Promotes ASTN1 internalization and intracellular transport of endocytosed ASTN1 (By similarity). Selectively binds inositol-4,5-bisphosphate, inositol-3,4,5-trisphosphate and inositol-1,3,4,5-tetrakisphosphate, suggesting it is recruited to membranes that contain lipids with a phosphoinositide headgroup (Ref.6)",,True
P02748,CO9_HUMAN,559,Homo sapiens,benign,macpf_nontoxin,"['PF00057', 'PF01823', 'PF00090']","['GO:0072562:C:blood microparticle', 'GO:0070062:C:extracellular exosome', 'GO:0005576:C:extracellular region', 'GO:0005615:C:extracellular space', 'GO:0005579:C:membrane attack complex', 'GO:0044218:C:other organism cell membrane', 'GO:0005886:C:plasma membrane', 'GO:0001906:P:cell killing', 'GO:0006956:P:complement activation', 'GO:0006957:P:complement activation, alternative pathway', 'GO:0006958:P:complement activation, classical pathway', 'GO:0160257:P:complement activation, GZMK pathway', 'GO:0031640:P:killing of cells of another organism', 'GO:0050778:P:positive regulation of immune response', 'GO:0051260:P:protein homooligomerization', 'GO:0055085:P:transmembrane transport']","Pore-forming component of the membrane attack complex (MAC), a multiprotein complex activated by the complement cascade, which inserts into a target cell membrane and forms a pore, leading to target cell membrane rupture and cell lysis (PubMed:22832194, PubMed:26841837, PubMed:26841934, PubMed:27052168, PubMed:30552328, PubMed:6177822, PubMed:9212048, PubMed:9634479). The MAC is initiated by proteolytic cleavage of C5 into complement C5b in response to the classical, alternative, lectin and GZMK complement pathways (PubMed:39914456, PubMed:39814882, PubMed:9212048, PubMed:9634479). The complement pathways consist in a cascade of proteins that leads to phagocytosis and breakdown of pathogens and signaling that strengthens the adaptive immune system (PubMed:9212048, PubMed:9634479). Constitutes the pore-forming subunit of the MAC complex: during MAC assembly, C9 associates with the C5b8 intermediate complex, and polymerizes to complete the pore (PubMed:26841934, PubMed:30111885, PubMed:30552328, PubMed:34752492, PubMed:4055801, PubMed:6177822)",,True
